player,playerid,strike
Kamikadze,76561198917466139,1
Darknclaw,76561198168163706,1
MGE MAKCIM,76561199475653913,1
Eslovack,76561199260674125,1
Muichiro,76561199688611639,3
acepilot6535,76561199037042737,1
Dorex,76561198871019070,2
Carcus,76561197963834654,2
EGORKA,76561199796198444,1
𖣐ꚠ𖣠𖢉𖤢𖦪 ꔪ𖣠,76561197995547501,1
why does technology ,76561199074892873,1
шапокляк,76561199641973054,6
ProfessionalPotatoPe,76561198045548238,1
judbrogdo25,76561199863807913,1
clarkfam74,76561199438410908,4
deacisthebest,76561199346874886,1
edspinheiro,76561199429696539,2
buddy,76561198869555644,1
Dadywaddy,76561199376317712,1
andreinfp,76561198181749633,1
oorreeoosilly,76561199784227468,1
jkroh1,76561199526316978,1
saab.last,76561199441901226,2
Double D,76561199079831575,1
traingoomba,76561199057117051,1
BoSSMan71,76561198996303651,4
TheBeanKid,76561199530529889,3
DriftKing32,76561199884183797,1
war cat,76561198852616802,2
Silas is potato 600 ,76561199468201689,1
Vault-Tec,76561199085346460,1
geoffreyrohrbach,76561199487340283,1
ryderjfults,76561199277346814,1
justin2014ep,76561199811387691,1
ChaosCreator18,76561199122136566,1
sgt. husky,76561199485561634,2
dragonballs2017,76561199589254611,2
blue boy,76561199701432811,1
k3wheat,76561199499351386,1
bcl,76561198858401823,1
notmrdurden,76561198313291201,2
Masterfunkgamer,76561199881662656,1
a violent brick of b,76561199445409237,4
101search,76561198946363240,1
benjamingeorgeland,76561199675894685,4
scarey39560,76561198844311208,1
mshann,76561198038702870,1
shoyko98,76561199186108953,2
KaiserFriedPotato,76561199522322096,2
grug the inventor,76561199654570448,1
BAUMER,76561197971535899,3
[LOS] ByLeanT,76561199806354057,2
JDCOM,76561198273000120,1
valenciaelcrac,76561198959878456,1
konada,76561199102050232,1
Litteducks,76561199539086399,1
Jewel,76561199230382959,2
SpookyGhost,76561199465910109,2
taddel,76561199088902666,2
PAVUK,76561198983733054,3
RenegadeRon458,76561199571574881,1
lies,76561199454109084,1
izzyjack09,76561199118519506,1
alexnjoum,76561199477382812,1
Jupo,76561198930581540,2
xmarks72,76561199557259061,4
fingerfish2,76561199091942119,3
daumid_sho,76561199178412274,1
Ya_gor,76561199199385714,3
aim_assist,76561199069338056,1
jackamcgowan2011,76561199811825163,1
B3NC4NDY,76561199240341844,1
Mr UwU BALL smasher,76561199015264941,1
Cake9246,76561199744626717,3
billy jean,76561199473450016,1
joseph65julian,76561199764902661,3
PWRJaybin,76561199466240300,2
Stash Gaming,76561199178381293,2
Fatal Error GT,76561199039151639,1
Lord spity,76561199540198360,1
Ted,76561199204228037,2
Elidoodman,76561199797516145,1
richiecrim79,76561199537377059,7
Bowwar871,76561199644155890,1
richiecrim,76561199199798562,1
Sharkii,76561199071536818,2
MilkGod,76561199681101638,2
TruckerBob,76561199014638985,1
Tape_Worm [FWKZT],76561199524424286,2
HDT2030,76561199249976947,1
Землеройка,76561199230370460,3
Chameleon,76561199125300890,2
sanguhito de miga,76561198005879945,2
nikkoart0,76561199839397725,2
Kuga,76561199815840597,1
chickenwing_504,76561199095325145,2
H0R1T0N,76561199168694528,1
Ghorn L2 Reborn,76561198056547146,1
k9joboof,76561199811881284,1
volcano344111,76561199812656003,1
lights,76561199861728281,1
keekweb522,76561199591578732,2
hectoraki_9,76561199216609284,2
Роман-Никитен,76561199193426070,2
Phantulus,76561198140145992,1
doom_bringer,76561199481623121,1
djc15214,76561199531820175,5
1635ty2005,76561199829099995,1
nick,76561197961890397,2
GamerchrisYT,76561198345502075,1
kieranadams2020,76561199096481860,2
slasher564,76561199752520288,1
fredrick,76561198974710949,1
wavedrop,76561198381035010,3
Mr. Epic,76561199424424724,2
liz.rowley,76561199516873773,1
RayzGround,76561199571745349,1
ely.k,76561199580331730,1
markkle,76561199021225349,1
portalgamer,76561198963776204,2
Chango_Boy_11,76561199251558651,1
BnBGobo99,76561198131010510,2
kmckelvery,76561199061032298,4
boom40mm,76561199589202157,1
willclub,76561199124921342,2
jemarkus,76561198228742996,2
rule308,76561199013842827,1
Fury Insidious,76561199280910108,1
pugdog0,76561197990838484,1
timmett86,76561199475415787,1
ryder6xx,76561199017341861,1
alexzander the great,76561199830420264,2
NotBardock,76561198976292039,4
Kradien,76561198238520180,3
AXES,76561198916865928,5
clicked,76561199205941080,1
Papas,76561199101388351,1
Taboma22,76561199529175165,2
Artem,76561199787456536,1
ZERO,76561198142587759,1
mjchewski,76561199058571937,1
Fatty,76561198363414407,6
boata164,76561199800125058,1
Kanyeezy2024,76561198275778093,2
Woolker86,76561199129053635,2
panovlesa91,76561199819077650,1
tomajz01,76561199811918529,1
Artoreeius,76561199485410908,3
IG-88,76561197998211598,1
EGorдядя,76561199434192396,1
werti,76561199866944201,4
ajrichardson2022,76561199590054284,1
andrew0tod,76561199140862876,1
kolomiecr66,76561199698992449,1
[REDACTED],76561199408904860,3
AJ,76561198449056456,1
honacc,76561198047101458,1
your grandpa,76561198161944513,1
Omsk,76561199438800348,1
OrangeStars20,76561199240332380,3
apeninja732,76561199532175835,1
wef849,76561199690054681,1
DFS BURGER,76561199630423132,1
Aimec,76561197992350546,1
StunttKingg,76561199659759686,1
ronw819,76561198031536381,1
Roxet,76561198117119848,3
bry2j316,76561198131603826,2
king_kobra45,76561199811764366,2
zxgosselin,76561198294248590,3
davipereiramartins46,76561199688465326,2
mr.dawsey87,76561198888538360,3
Legokungfu,76561199058756183,1
fischi,76561199138251183,6
Mr.zman,76561199042144804,1
Mrflabbypants7,76561199105888583,1
Chicha7671,76561199519227042,1
logan,76561199278300403,3
Farmer Dan,76561199107995036,1
thugin,76561199452347712,1
nugbolz,76561198447627769,1
whatwhosthis94,76561199806192686,2
swuhga,76561198817999996,6
S0ULS,76561199465624468,1
Nonkar,76561198239350442,3
blueradeon747,76561199822414631,4
littlefeli10,76561199445484358,1
Scout0890,76561199810581003,3
RenVampV,76561199642613574,1
southwicks2011,76561199213283329,1
ЕГОРЫЧ,76561198970149315,1
kingofinfinity6666,76561199490496648,1
geoperti5589,76561199777706185,4
Uzi Doorman,76561199211344099,1
ббройлер,76561199202804425,1
ianmichmartinez,76561199013148929,1
Mr.Dubrovsky,76561199126581130,3
i47490025,76561199838528492,1
Sidagu,76561198088143001,2
Tobsman,76561197983817587,1
HAL9000,76561198022713963,2
V1KYF,76561199228895656,1
pjbaca4,76561198153741684,1
hiroxbird,76561199881122490,1
Monster.exe,76561199194588350,4
splucker,76561198859878729,4
Muhammud Al Haqufar,76561199682028597,1
ryan army,76561199575674814,2
Raincellz,76561199511628128,1
Little_Fire1234,76561198007947966,1
Kylo-Dad17,76561199851564016,1
Doookiez_Cool,76561199219054801,1
wildman_ty,76561199821608853,2
glbougie,76561199720526313,2
ERROR_,76561199800027418,5
fish gaming,76561199379635930,1
ecg33111,76561199874921724,1
Digital Bean,76561199360320294,1
ciarlegliojavan,76561199557659927,2
luis40ak,76561198287178287,2
rihaansworld,76561199841213330,1
Areospire,76561199666737163,1
Digital7912,76561199507131096,1
kduodu323,76561199491914179,1
Jason0074,76561199217707623,1
natanjankowski,76561199676727109,2
shinydome19,76561198365630015,1
ozi,76561199235805587,1
chefy5mil,76561199569158973,1
nicklas,76561198271690719,1
henlo,76561198263434895,1
Agent Space Cop,76561198370087581,2
SHENEN,76561199522523057,2
mikeypeyton12,76561199884987238,1
Mr. 3̙́2̥͛4̯́̐,76561199586894267,1
LIL_Houdini,76561199061391333,1
王建国明远,76561199157038229,1
Filin_08,76561199015877221,1
Ignaruss,76561199121632578,1
dimavintajkin2,76561199787244749,1
LLukz,76561199596576258,1
умом,76561199482677455,1
kailukas353,76561199803391629,1
Kapycta.10,76561199571581716,1
dadm.x,76561199280714061,2
BazarVokzal,76561198817702469,1
sai SPLINTER,76561198258500164,3
shbgggksks,76561199873822082,1
егор228 про,76561199181273661,1
ashley.fleming82,76561199564627059,1
bongodrums11,76561198446989659,1
penguinguy,76561199095913640,1
itz_raining_fig_bars,76561199636177394,1
Caramel_Crusader,76561198120320790,1
GalaxyFrog77,76561199421919513,1
Tactical Rat,76561198049214080,1
Kittygamer123,76561198283785882,1
Nate,76561199012838655,1
CrashTRC28,76561199579713505,2
bevlynous,76561199465752245,3
bob44,76561198831284098,2
BoxOfFox,76561199192707818,1
Landonvsyou1228,76561199229583935,1
๋,76561198852522432,1
Советский ПХ,76561199525195510,1
FISH,76561198859967885,5
zekewz,76561199653313937,1
rwiningarjr1122,76561199527632581,3
rapsag76,76561198040613173,1
МАКСИМБЕК НИГЕРБ,76561199549949641,2
TristanPlayz,76561198102673954,1
Tim Simpson,76561198354806125,3
ChknPatySanwch3,76561199820315067,1
young,76561199619019754,2
cigoe,76561199840094565,2
sobanski16,76561199406241694,2
mithrandir35,76561197972295353,1
1Buffalo1,76561199614390605,1
JosiahG,76561199196442162,1
komaruss,76561199044503767,2
mis1,76561199116736881,3
JJshoe,76561198211667356,1
gvozd34tg,76561199257734366,1
memfig029,76561199536927740,1
Karl Stanwich,76561198067371274,1
JALAPainYO20,76561199225810930,1
Pickle,76561199208824238,2
knakna,76561199619365384,1
TicTac2482,76561199593247441,1
drp3pp3r,76561199811646952,1
UnholyManswers,76561198094749824,1
shaunda2bobby,76561199051537731,1
Special_Ed69,76561199469850000,1
AtFoRm ,76561199157925451,3
БлэкПапашо,76561199807380411,1
F13,76561199352162347,1
applejackhicks,76561199446684834,1
simas,76561198252462648,2
p0sixmac,76561198149007267,2
cb,76561198346750430,2
HelloThereGrievous,76561199873371968,1
Cypher,76561198930594967,3
jololink,76561199275472098,1
CrazedCanuk617,76561199491480587,1
ioiotkiller,76561199237547721,2
IChugPeptoBismol(ILi,76561199083990505,1
mason,76561199811101625,1
ninjazu ◥▶ . ◀◤,76561199819766014,1
Spudlet2013,76561199074240303,6
tommy,76561199531954919,1
DuckingFouchebag,76561199242323718,1
Miro,76561199073094813,1
dogsforlife,76561199405897173,1
uncle eggroll,76561199231911950,1
zazawoods302,76561199685944927,1
frigbit,76561198970134013,3
snowyslim942,76561199644802044,1
Marcys-mareep,76561199146817374,1
Frasier,76561199556700481,1
Арнольд Мефедрони,76561198377532681,1
Cozzmic,76561199387505789,1
eminer3033,76561199202304933,2
Вялые_Яйца,76561198972126494,1
Nummerolipolo,76561199064887572,1
ngreynolds2011,76561199275972699,1
aniktek7332,76561198995888743,1
ml_ramsay,76561199248233748,1
pom,76561199068447923,2
chueco perez,76561199500783107,1
Setvalley,76561199124913283,1
NumberBoss921,76561199665476498,2
ghost,76561199470286128,3
Merry Christmas,76561199842834991,1
DaRoWA,76561198820228428,1
Camen,76561199289563716,2
xidO vcs2.ru,76561199814133629,1
TulaneG59,76561199544875446,1
MaDLaD,76561199784016802,1
IBCHIPS,76561198330159792,1
Luke157,76561198074209172,1
zanderman014,76561199249730083,2
BFALH,76561199879378702,1
jamal,76561199492501138,3
34manjo,76561199813570850,1
PMC Wagner Group,76561199216075905,1
Carpier,76561199074688307,1
ACE,76561198351641228,1
ThatOneBee,76561199861334265,2
Cool__gamer__200,76561199463839066,1
Buckshotbarden,76561199624374477,1
voibster,76561198165513673,1
MaxwellCBunz,76561199466608469,1
Spinning_dog,76561198391323995,1
Akizek,76561199646522500,1
hickey057,76561199556004964,1
ahsanul1,76561199066105266,2
airdawg01,76561198047618653,2
sedsad,76561199346851118,2
MischievousToasterin,76561199122485902,7
Олег монгол,76561199487095800,1
defthanter,76561199284071215,4
Acutasai,76561199255718926,1
predsfan2,76561198993987814,3
tuvfloz,76561199394848737,1
Eggcrypted,76561199820112969,1
kasced30,76561199083577987,1
Errgterfisch69,76561199384928278,1
newbiebeastispro,76561198805868900,1
white.ryan,76561198115445946,2
godzilla 2021,76561198815401892,2
IMfast420,76561197992385858,1
Nx_777,76561198171017421,2
ezgutzman,76561199872910956,1
Изумрудный ящер,76561199246135854,3
dmetzgen,76561198345373306,3
abraham lincol n,76561198398375347,3
\\\\7\\\\[HGH]//7//,76561199754624851,1
oma140766,76561199759615023,1
benjaminparfitt,76561199785483620,4
🤫😎UNB😎🤫,76561199224339178,1
Grauichkeit,76561199035632362,1
lisandro.checo,76561199544423321,1
JaxonBro5612,76561199266518609,1
JomiguelXD14,76561199821685444,1
Melon,76561199816458313,2
ZW Matt,76561199375348916,1
chaviskelly964,76561199875557351,1
bismarky,76561199301224279,1
Edmo239,76561199749773095,2
doon1123,76561199851171836,2
BSD//sam,76561199839569115,1
gabicca99,76561199057601645,1
simplyshocking,76561199487104939,1
iceops,76561199466658110,1
spypickle,76561199014620862,1
dan777williams,76561199589080769,1
Poncho87,76561199396681768,1
David,76561199166250682,1
flashx5231,76561199401420506,1
