player,playerid,strike
Doc gangster,76561199215222352,1
1bdulla,76561199386304739,2
Flatma4t,76561199247709562,3
Dark toxic1940,76561199802454111,1
lighthomy,76561199210332578,1
lukaszchodor.pl,76561199220677259,1
waffle,76561199538902485,4
Chayseroni,76561199309421899,1
Jomshua,76561198159063625,3
wesleebeard11,76561199489355082,1
yolapham,76561199676692543,9
Malik,76561198847889146,2
Canfredo2,76561198389444032,3
Tankboi,76561199075249136,2
John Ford,76561198356315053,1
rockenroller,76561199247144058,6
travelpower365,76561199237067801,1
289821535,76561198795506369,4
im digging in you,76561199453302305,2
Hattoki,76561198983241472,3
LourdFox,76561199446067849,6
Coco,76561198873687517,1
MIXA,76561199001791230,1
ZionGamePlays,76561199426231584,5
Donbass 2012,76561199182523813,6
Priest,76561198999250557,1
The Wanderer,76561199587946467,3
.FAQ | Тумба юмба,76561199072444164,3
Humanoid,76561199480735004,4
LLUFF,76561199563779254,3
Plsolidliger,76561199078696076,2
VladoSIk,76561199590338071,1
Oblard,76561198396279003,2
Jankosmyk,76561199482024096,1
Mr. Honkinton,76561199011281187,1
Halftooth,76561198090604990,1
D0CT0EVSKY,76561199797060274,3
gurpreet.bajwa87,76561199482408160,2
lukeadderley7,76561198962611639,2
rvt.171218,76561199577853687,1
егорка шипокляк,76561198068987116,1
denmol556,76561199643916408,4
thebestdud123,76561199469314087,4
VLEN77,76561199236770624,3
EPICDROP.one.txcogsi,76561199557853000,4
jf9731,76561198833734521,1
knomes,76561199161941016,1
Eli,76561199548807174,1
ПРИВЕТ,76561199635174064,5
Supremo,76561198887467487,1
adam2887,76561199486037165,3
DNDROX,76561199642888470,1
mayzerNS,76561198965526916,1
.utoxxxic,76561199054082218,3
W_W,76561199730820232,1
Brian moser,76561199469977905,1
DSKYZZ,76561199465176449,1
ReidxAkazii,76561199436330200,2
I-When-Who\'s-We,76561199212787365,1
straszk123,76561199069986141,1
DragonMaster9817,76561198987187087,2
ikkyu,76561199279733219,2
Akio,76561199234630863,3
FlamingZoom,76561199096970884,2
Sosiska,76561199043368111,3
Filimonov,76561199483069675,1
sandsearthworx,76561199811217054,3
Miшa2019bandit.gg,76561199246312074,1
jacoblawing82,76561199698440125,1
AREX,76561199153024437,1
inblair.09,76561199811816257,3
vlad dotka,76561199113512969,1
dance,76561199004812575,2
K1NG,76561199097822808,2
littlemnk,76561199059086730,1
генка,76561199728126952,2
TexasFamilyGaming,76561199521670792,3
infernorapter3,76561199010682576,2
mariofan,76561199528714349,3
steve.angelique,76561198998267769,1
Mono,76561199677002710,3
airplane580,76561199065336459,2
𝐏3𝐫𝐟3𝐜𝐭,76561199557085660,3
el.khristoforova,76561198090505426,3
eugeny.zhuzhnev,76561198023096993,3
Don Vito,76561198127680472,3
MaskedTeen4717,76561199467917726,1
prosto suba,76561199784818514,2
МИКОЛА,76561199438725158,2
𝐹𝑜𝓃𝓉𝑜𝓇𝑔𝓎,76561199176923102,4
Remnant,76561198893818142,1
maxingo696,76561199797243073,3
C.R,76561199073354122,1
makssad2013,76561199813143664,3
mattew_d,76561199811795685,1
Master lomaster,76561199565660391,3
PauluxasLTU,76561198873120329,3
КОТ,76561198989428371,2
Jean TNT,76561198877123291,1
gek-jek,76561198050966472,3
Ozolith,76561198310254345,2
TheBoyz1345,76561199149160462,2
L3tsg0brando21,76561198055463984,3
dimewylde5150,76561198001387890,2
DMWJ,76561198986652134,1
duchiedoodoo1776,76561199812175730,1
ree_nuat,76561198320137995,1
Ghost r scary j k,76561199238683475,2
balbes,76561199566704759,2
INTEL XEON服务器处理器,76561199419884367,1
黑鬼,76561199592853066,1
ScatBat,76561198169585456,3
przem300,76561199102634333,1
voycuk,76561198082522493,1
YamanWalker,76561199239309927,3
Flexzfity,76561199595427940,1
Germanhg,76561199674380775,1
Kmoney,76561199824544671,2
Sillyboy1354,76561199122170573,2
glk96Rus,76561198146207913,1
chezziep,76561199819300954,2
d9llixson,76561199413335783,3
Jhudd073,76561199656519803,2
kasha,76561199466775041,1
Bandit,76561198871094027,1
bright_eyes71,76561197992682016,1
Minimally,76561199078839892,1
BOB,76561199265593400,1
Klpn519,76561199071464961,2
iamvictorh,76561199698190473,3
Apex the dog,76561199111783689,2
kilkawmasle1999,76561198838373885,2
ProBingQiLin,76561199487133427,1
cornholio,76561197991840751,1
mxer125,76561198107857733,1
Vroom,76561199568949682,2
Micky,76561199811462497,2
sendejasr,76561198102013219,1
weswu301,76561199487180180,1
Smocktock,76561199784376113,3
Bill Cosby,76561198848670040,1
Liam2010,76561198271842570,3
peexerdoodle,76561199184022832,2
PD130,76561198993741644,5
ljames134,76561199811362687,5
toreetmon,76561199042576724,2
TravisBOI,76561198369010653,1
Flux,76561199059509438,1
harskampeli,76561199520839517,1
Lightsauce,76561198004656957,1
DigitTex,76561198353324585,1
Sampletext,76561199231415825,2
Gill,76561198408484689,1
NathyPat11,76561199159271667,1
HumanPowers,76561198356433007,1
camo523,76561199704523446,16
jr2183,76561198071794495,1
iancgardner22,76561199104059950,2
Graywing,76561198311425057,4
jasmith00000,76561199230042943,4
chris.g.counts,76561199143561976,1
subby27,76561199473779436,1
lexi,76561199521596648,1
cspott2011,76561199816414029,1
Šunkový Salám Speciá,76561198835935233,1
🌸Musashi~🌸,76561199180717079,1
meshuevos,76561199078215132,2
lucaswobig,76561199674360315,2
ABUMUTAIR,76561199521762538,5
bondar_O,76561199114879347,1
_AKSELOTL_,76561199580087071,1
SSSNIPERBOY502,76561199869410617,2
Cat,76561199548656984,1
zachsteam,76561199112608416,1
Ryan Gosling,76561198995025313,2
кузя лакомкин,76561199068211224,1
gublerroger,76561199624948783,1
V1,76561199544995999,1
BoyKisser,76561199682553590,2
lio5,76561198332602399,2
Zaul,76561199812541902,1
Mr Prescott 21,76561199862649791,1
Shr1mple,76561199342390163,1
TheLuciusGuy,76561199499299076,2
Huye,76561199469461153,1
Wigza,76561198846193510,1
ILY-SL,76561198070176413,1
ROSHEN,76561198871523639,1
DRmåksym,76561199243530127,1
XXX,76561198895283787,1
MrPilot,76561199692859119,1
poopy,76561199479385365,4
fdzmich,76561199569335912,1
reikerdude,76561198268198591,1
Cookies_398,76561199654232942,3
CrazyAdrian,76561198208814392,1
Potato man,76561199100676898,3
Jigglelewkyboggle,76561199640095319,1
HexCraze,76561199219435626,1
Hanzer Dragon,76561198314650587,1
lukamasetti,76561199109512106,2
GonczTardos,76561199214233568,1
capyfrog,76561199801879261,1
Konrad,76561199027071414,1
Marski,76561198943296786,1
bigwarrior17,76561198860782315,1
MrAmazing,76561199847781975,1
bolloxim,76561197970563179,1
MILK,76561199218134444,1
devin.sanders1118,76561199222558234,1
CATZRKOOL223,76561199720622253,4
shayda543,76561199819811525,1
MostlyGhostly899,76561199273238650,1
thetornadoguy,76561199741431873,1
FinsUp,76561199611502632,1
Apache 11,76561198995425340,1
l DeathBlade l,76561199090054437,3
IReallyLikeCheeseSti,76561199796030277,3
mega2280,76561198796242301,4
cooperduncan2010,76561199856971330,1
Lukodo2009,76561198251104646,1
Bandit_26,76561199093716975,1
dfuzzzzz,76561199060213387,1
god of reailty,76561198300655680,1
minho125,76561198857898098,2
skonyong61,76561199527199436,4
Guyo,76561199124267037,1
s99547319,76561199509386343,1
RedBull,76561199388752765,1
AbsoluteApex,76561199439454258,1
ZOMBO,76561198964022903,1
GamerFire,76561199809220119,3
Keitu,76561199057083315,2
impressedbyjessdesig,76561199774366590,1
timcenkob941,76561199849066748,2
Wckdqn789,76561199748252438,1
SGT_Weeks,76561199141062914,2
HABU,76561198415055084,1
LuCaS_GrAiN,76561199462887183,2
Jack_189,76561199250094841,2
i am a black guy,76561199312447087,2
Dani.on.240hz,76561199305418807,1
CorbinNator11,76561198378949318,4
floopa,76561199252205304,1
PopaBobra,76561199158506079,1
parrotflap,76561199444745014,1
Proxy304,76561198129344962,1
Rex,76561198240129502,1
"Zimbabwe Ted, Not Ch",76561198799455748,2
bollywood stunt-guy,76561197966406272,2
Lord Kingston,76561198858124855,1
Focally,76561199167852588,3
artoxx15,76561199501984263,1
dcsus2gd1,76561199810940378,5
Steven,76561199554478781,3
Travel,76561199533625638,1
MrCrab,76561199407782142,1
Merry Christmas,76561199743850611,2
Catgaming22,76561199477732687,1
Schindar,76561199501242662,4
bitzbpz,76561199122708236,1
BRUH,76561198096216213,1
Feen Lord,76561199195885801,3
BrodSkii,76561199017924863,2
Mirage,76561199672372074,1
Ruanzitos(@_@(,76561199003166275,1
CaptElijahIrelandYT,76561198879539339,6
Dclan123,76561198325688542,1
bonddr24,76561198051973240,4
fastrocket4567,76561199102832008,2
isaiahgrimes123,76561199611878151,2
Ricardo,76561199021814203,2
SWiFT (as in fast),76561199793947080,3
hugge.hugge.wugge.wu,76561199632218484,1
NGTMRE,76561198003502567,1
Gr0v3r,76561199122272137,1
Soldier,76561199588967628,1
jack.croskery,76561199122774187,1
jmatias,76561199595993135,1
NiMiX,76561198963693013,2
MEATBALL343,76561199092689755,4
mahnat,76561199493331614,6
GORDOCHOTO,76561198880942668,5
Lunatic,76561199237137173,2
jvd9185,76561198836970457,1
VLADLOH,76561199198600022,5
redcamaro5,76561199820410352,1
-TLA-oduster,76561197970427489,1
HuskyHusky,76561198882425603,2
{Taz}Ratz,76561199054371749,3
thekidcake,76561198997938564,3
MR. Pyro,76561198849151736,1
